filename,speaker,item_code,variableN,rowN,variantN,word,variant
S04_5-2-1_moody_M,S04,5-2-1,5,2,1,moody,M
S04_5-8-1_scooted_M,S04,5-8-1,5,8,1,scooted,M
S04_5-9-1_soothingly_M,S04,5-9-1,5,9,1,soothingly,M
S04_6-2-1_channeled_M,S04,6-2-1,6,2,1,channeled,M
S04_6-8-1_randomness_M,S04,6-8-1,6,8,1,randomness,M
S04_6-9-1_banditry_M,S04,6-9-1,6,9,1,banditry,M
S04_7-3-1_padding_M,S04,7-3-1,7,3,1,padding,M
S04_7-9-1_tattletales_M,S04,7-9-1,7,9,1,tattletales,M
S04_7-10-1_chattering_M,S04,7-10-1,7,10,1,chattering,M
S04_8-2-1_fastball_M,S04,8-2-1,8,2,1,fastball,M
S04_8-8-1_restlessness_M,S04,8-8-1,8,8,1,restlessness,M
S04_8-9-1_wistfulness_M,S04,8-9-1,8,9,1,wistfulness,M
